PSM2 Position,MTML Position
"[[    0.966522,    0.255222,   0.0263868;
    -0.219754,    0.876489,    -0.42834;
    -0.132449,    0.408201,    0.903232]
[    0.202171,  -0.0267629,   0.0576104]]"
"[[     0.96593,    0.258056,   0.0196618;
    -0.215352,    0.843568,   -0.491951;
    -0.143537,    0.470956,    0.870401]
[    0.212185,  -0.0267932,   0.0673866]]"
"[[    0.965682,    0.258608,  -0.0240676;
    -0.215551,     0.74629,   -0.629754;
    -0.144898,     0.61333,    0.776422]
[     0.23211,  -0.0268658,   0.0874397]]"
"[[    0.965261,      0.2452,  -0.0902658;
    -0.216725,    0.558371,   -0.800782;
     -0.14595,    0.792527,    0.592115]
[    0.262026,  -0.0269572,    0.117498]]"
"[[    0.965081,    0.199688,   -0.169538;
    -0.217528,    0.250341,   -0.943404;
    -0.145944,    0.947341,    0.285037]
[    0.301918,  -0.0270961,    0.157561]]"
"[[   0.0295967,   -0.999402,   0.0179047;
     0.517159,   0.0306391,    0.855341;
    -0.855377,  -0.0160557,    0.517756]
[    0.180001,   0.0199346,    0.404295]]"
"[[   0.0274183,   -0.996553,  -0.0782969;
     0.518552,  -0.0527839,    0.853415;
    -0.854606,  -0.0640003,    0.515317]
[    0.169732,   0.0198205,    0.414623]]"
"[[   0.0122093,    -0.96879,   -0.247581;
     0.516014,   -0.205978,    0.831446;
    -0.856493,   -0.137907,    0.497395]
[    0.149724,   0.0197679,    0.434711]]"
"[[  -0.0169276,   -0.854357,   -0.519411;
     0.508419,   -0.454666,    0.731292;
    -0.860943,   -0.251699,    0.442068]
[    0.119788,   0.0199583,    0.464659]]"
"[[  -0.0407425,   -0.620337,   -0.783277;
     0.498376,   -0.692065,    0.522176;
    -0.866003,   -0.369091,    0.337357]
[   0.0798832,   0.0200328,    0.504535]]"
