PSM1/2 Position,MTMR/L Position
"[[    0.965262,    0.259447,    0.030924;
     -0.22236,    0.877843,   -0.424203;
    -0.137205,     0.40259,    0.905039]
[   -0.197866,  -0.0268442,   0.0577072]]"
"[[     0.96632,    0.257057,   0.0121571;
    -0.217303,    0.840362,    -0.49656;
    -0.137861,    0.477194,    0.867917]
[   -0.187884,  -0.0268166,   0.0674614]]"
"[[    0.966331,    0.255323,  -0.0318587;
    -0.216925,    0.741829,   -0.634534;
    -0.138377,    0.620081,    0.772238]
[   -0.167981,  -0.0268957,   0.0875102]]"
"[[     0.96613,    0.236742,   -0.102697;
    -0.220664,    0.551566,   -0.804414;
    -0.133795,     0.79983,    0.585125]
[   -0.138825,  -0.0272622,     0.11792]]"
"[[    0.962067,    0.127199,   -0.241346;
    -0.265341,    0.230633,   -0.936164;
   -0.0634165,    0.964691,    0.255636]
[   -0.112702,  -0.0327826,    0.165071]]"
"[[    0.029592,   -0.999347,   0.0207156;
      0.50947,   0.0329102,    0.859859;
     -0.85998,  -0.0148909,    0.510111]
[   -0.179999,   0.0199346,    0.404295]]"
"[[   0.0277414,   -0.997252,  -0.0686909;
     0.510629,  -0.0449377,    0.858626;
    -0.859354,  -0.0588951,    0.507979]
[    -0.19024,   0.0198344,    0.414663]]"
"[[    0.013369,   -0.970404,   -0.241116;
     0.508295,   -0.201062,    0.837383;
    -0.861079,   -0.133753,    0.490564]
[    -0.21025,   0.0198617,    0.434744]]"
"[[ -0.00290574,   -0.873368,   -0.487053;
     0.504476,   -0.421815,    0.753376;
    -0.863421,   -0.243517,    0.441819]
[   -0.240208,   0.0198998,    0.464718]]"
"[[  -0.0282882,   -0.627325,   -0.778244;
     0.504343,    -0.68115,    0.530728;
     -0.86304,   -0.377488,    0.335656]
[   -0.280058,   0.0209834,    0.503422]]"
