PSM1/2 Position,MTMR/L Position
"[[    0.966034,    0.256794,  -0.0288825;
    -0.243505,    0.867181,     -0.4344;
   -0.0865052,    0.426678,    0.900257]
[    0.201792,  -0.0247905,    0.058548]]"
"[[     0.96592,     0.25659,  -0.0340695;
    -0.241608,    0.846539,    -0.47434;
   -0.0928696,    0.466406,    0.879682]
[    0.211783,  -0.0247801,   0.0684317]]"
"[[    0.965841,    0.252056,  -0.0601539;
    -0.241863,    0.793511,   -0.558428;
   -0.0930226,    0.553902,    0.827369]
[      0.2317,  -0.0248443,   0.0884811]]"
"[[    0.965448,    0.241026,  -0.0990821;
    -0.243163,    0.696469,   -0.675132;
   -0.0937167,    0.675897,    0.731013]
[    0.261594,  -0.0249438,    0.118524]]"
"[[    0.965265,    0.215896,    -0.14715;
    -0.243717,    0.541045,   -0.804905;
   -0.0941616,     0.81281,    0.574869]
[    0.301461,  -0.0250919,    0.158599]]"
"[[   0.0295951,   -0.999452,   0.0147953;
     0.514703,   0.0279263,    0.856914;
    -0.856858,  -0.0177452,    0.515248]
[    0.180001,   0.0199346,    0.404295]]"
"[[   0.0281369,   -0.998075,  -0.0552598;
     0.522847,  -0.0324219,     0.85181;
    -0.851962,  -0.0528596,    0.520928]
[    0.169716,   0.0198185,    0.414709]]"
"[[   0.0179666,   -0.987947,   -0.153747;
     0.514109,   -0.122758,    0.848895;
    -0.857537,  -0.0942945,    0.505707]
[    0.149744,   0.0198209,    0.434672]]"
"[[   -0.018805,   -0.953181,   -0.301814;
     0.507994,   -0.269109,    0.818243;
    -0.861155,   -0.137933,    0.489271]
[    0.119883,   0.0200101,    0.464676]]"
"[[  -0.0377132,   -0.852516,   -0.521339;
     0.500902,   -0.467561,    0.728343;
    -0.864682,   -0.233672,    0.444661]
[   0.0799358,   0.0199884,    0.504619]]"
